;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Gong Li;[u'Farewell, my Concubine', u'Temptress Moon', u'Chinese Box', u'Red Sorghum', u'Ju Dou', u'Raise the Red Lantern', u'The Story of Qiu Ju', u'To Live']
Jonna lee;[u'Making the Grade']
Shannon Tweed;[u'Meatballs part III', u'TZ:Hot Dog...The Movie', u'Night Eyes II', u'Last Call', u'Sexual Response']
Barry Dennen;[u'Madhouse']
Dorothy Green;[u'Tammy and the Millionaire']
Steve Kanaly;[u'Eye of the Eagle III']
Jean Champion;[u'La Nuit Americaine']
Anette Bening;[u'Guilty by Suspicion']
Gene Reynolds;[u'The Bridges at Toko-Ri', u"Boys' Town"]
Xie Yan;[u'Bloody Morning']
August Zirner;[u'Voyager']
Mae Clarke;[u'Nana', u'The Penguin Pool Murder', u'Great Guy', u'Waterloo Bridge', u'Frankenstein', u'Lady Killer', u'The Public Enemy']
Steve Railsback;[u'Scissors', u'TZ:The Stunt Man', u'Lifeforce']
Sumuel H. Hinds;[u'Buck Privates']
Virgenie Thevenet;[u'The Cry of the Owl']
Arthour OConnell;[u'Huckleberry Finn']
Karlheinz Boehm;[u'Effi Briest', u'Fox and his friends']
Hans Byrd;[u'Jumanji']
Tommy Haynes;[u'Glen and Glenda']
Warren Finnerty;[u'Easy Rider', u'Panic in Needle Park', u'The Connection']
Cyril Fletcher;[u'Nicholas Nickleby']
Theodore Newton;[u'Ace of Aces', u'Sphinx']
Gaston Morlot;[u"L'\xe2ge d'Or"]
Horace MacMahon;[u'The Gracie Allen Murder Case', u'Detective Story']
Kola Kwarian;[u'The Killing']
Joseph Bologna;[u'The Woman in Red', u'TZ:The Big Bus', u'Chapter Two', u'My Favourite Year', u'Blame it on Rio', u'Copacabana']
Maria Emo;[u'Hitler']
Ronee Blakly;[u'TZ:The Baltimore Bullet']
George "Buck" Flower;[u'TZ:Mountain Family Robinson']
William Farnum;[u'The Spoilers', u'A Conneticut Yankee', u'The Only Way', u'Les Mis\xe9rables', u'Maid of Salem', u'If I were King', u'The Count of Monte Cristo', u'The Silver Streak', u'The Lone Ranger']
Stephen Roberts;[u'First to Fight', u'Enola Gay']
Claude Laydu;[u'Attilo Flagello di Dio', u"Journal d'un Cur\xe9 de Campagne", u"Journal d'un Cuire de Campagne"]
Anthony Huston;[u'Zontar, The Thing from Venus']
Judith Ivey;[u'Everybody Wins']
Jane Connell;[u"Truman Capote's Trilogy"]
Maric Chapkin;[u'Dances with Wolves']
Spec ODonnell;[u'Little Annie Roonie']
Kinuo Tanaka;[u'Sansho the Bailiff']
James Eichling;[u'Thieves Quartet']
Claire Dodd;[u'The Glass Key', u'Footlight Parade', u'Three Loves has Nancy', u'Roberta', u'The Singing Kid']
Laura Dean;[u'TZ:Fame']
George Corraface;[u'Escape from L.A..', u'Impromptu']
Remy Belvaux;[u'Man Bites Dog']
Sidney Berger;[u'Carnival of Souls']
Jonny Lee Miller;[u'Afterglow', u'Trainspotting']
Dooley Wilson;[u'Stormy Weather', u'Casablanca', u'Cairo']
Herbert Mundin;[u'The Adventures of Robin Hood', u'Cavalcade', u'David Copperfield', u'Orient Express', u'Tarzan Escapes', u'King of Burlesque', u'Adorable']
Ilie Nastase;[u'The French']
Jerome Benton;[u'Graffiti Bridge']
Michael Liebman;[u'You, Me, and Marley']
Hank Azaria;[u'Anastasia', u'The Birdcage', u'Godzilla', u'Quiz Show']
Vincent DOnofrio;[u'Men in Black', u'Dying Young']
Betty Kennedy;[u"Cheech and Chong's Next Movie"]
Robert Dunn;[u'Breathless']
Chris ONeil;[u'Backbeat']
Stephen Collins;[u'Loving Couples', u'Between the Lines', u'My New Gun']
Suzanne Browne;[u'Bikini Carwash Company 2']
Robert Houston;[u'The Hills Have Eyes']
Richard Lyon;[u'The Unseen']
Kirsten Dunst;[u'Anastasia', u'Little Women', u'Jumanji']
Asia  Argento;[u'La Chiesa']
John Rourke;[u'The Naked Gun 2 1/2: The Smell of Fear']
Ilona Margolis;[u'Flatliners']
Barry Otto;[u'Strictly Ballroom']
David Allen Coe;[u'Take this Job and Shove it']
Angie Everhart;[u'Bordello of Blood']
Dwight Frye;[u'The Great Impersonation', u'Vampire Bat', u'Frankenstein', u'The Bride of Frankenstein', u'The Maltese Falcon', u'Dracula', u'The Drums of Fu Manchu']
Hilmar Thate;[u'Veronica Voss']
John Philip Law;[u'The Hawaiians']
Shemp;[u'Gold Raiders']
John Alanu;[u'Love Serenade']
Frank Campeau;[u'Abraham Lincoln']
Christopher Reeve;[u'Monsignor', u'Rear Window', u'TZ:The Bostonians', u'The Remains of the Day', u'Street Smarts', u'Somewhere in Time', u'Noises Off', u'Superman', u'Superman II', u'Superman III', u'Death Trap']
Paul Guilfoyle;[u'The Golden Idol', u'Brother Orchid', u'Extreme Measures', u'Cadillac Man']
David Wayne;[u'The 31st of February', u'The Last Angry Man', u"Adam's Rib", u'One More Mile To Go', u'M', u'Huckleberry Finn', u'How to Marry a Millionaire', u'The Reformer and the Redhead', u'TZ:Apple Dumpling Gang', u'The Three Faces of Eve', u'Finders Keepers', u'Portrait of Jennie']
Joyce Bulifant;[u'Airplane!']
s a;[u'A Private Function', u'And God Spoke', u'Real Life', u'Defending Your Life', u'Mother', u'Menace II Society', u'Nicholas Nickleby', u'Robin Hood', u'De Man Die Zijn Haar Kort Liet Knippen', u'Belle', u'Met Deric Bouts', u'Babel Opera', u'Putting Pants on Philip', u'Like Water for Chocolate', u'Angry Harvest', u'Europa, Europa', u'Nina Takes a Lover', u'Magic Mountain', u'La Vie de Boh\xe8me', u'Ten Minutes From Now', u'Where the Woodbine Twineth', u'High and Low', u'Derzu Uzala', u'Madadayo', u'The Inner Circle', u'The Journey', u"Dracula's Dog", u'S\xe9rie Noir', u'Saint Louis Blues', u'Sex Kittens go to College', u'The Petrified Forest', u'Police Academy 5', u"National Lampoon's European Vacation", u'Hon Dansade en Sommar', u'Striptease', u'Mississippi Burning', u"Rosemary's Baby", u'Batteries Not Included', u'The Dark Backward', u'People Will Talk', u'Moloch', u'Map of Love', u'Celia', u'Cat Women of the Moon', u'The Northerners', u'Little Tony', u'The Siberian Lady Macbeth', u'Birch Wood', u'The Wedding', u'Mute Witness', u'Sing, Bing, Sing', u'Before the Revolution', u'Novecento', u'Deathdream', u'TZ:Galaxy of Terror', u'Dressed to Kill', u'Raising Cain', u"Carlito's Way", u"Breakfast at Tiffany's", u'Experiment in Terror', u'Holy Mischief', u'Immortal Beloved', u'A Piece of the Action', u'Hangover', u'Run for Doom', u'Tom and Viv', u'The Disenchanted', u'Bugsy', u'Disclosure', u'Wag the Dog', u'Beethoven', u'Nickle and Dime', u'Silent Fall', u'La vie de Jesus', u'The Juror', u'Outremer', u'Night Gallery', u'Dumbo', u'The Haunted House', u'Battling Butler', u'For Love or Money', u'Get Shorty', u'Spice World', u'The Brady Bunch Movie', u'For Richer or Poorer', u'Les Enfants G\xe2t\xe9s', u"'Round Midnight", u'Murder, Incorporated', u'Love Me Deadly', u'TZ:Kiss Me Stupid', u'The Private Life of Sherlock Holmes', u'Mistress', u'Emmanuelle 6', u'Life with Father', u'Under the Skin', u"Occupe-Toi d'Amelie", u'Le Rouge et Le Noir', u'Show-Biz Nose', u'Germinal', u'Curiosity Kills', u'The Circus', u'Flight of the Innocent', u'Hannah K', u'Betrayed', u'Mad City', u'Home Alone', u'Home Alone 2: Lost in New York', u'Mrs. Doubtfire', u'Stepmom', u'The Plainsman', u'The Ten Commandments', u'The Passion of Joan of Arc', u'Vampyr', u'Watermelon Woman', u'Firefox', u'Straight No Chaser', u'A Perfect World', u'Bridges of Madison County', u'Midnight in the Garden of Good And Evil', u'The Hand that Rocks the Cradle', u'L.A. Confidential', u'A Fish Named Wanda', u'Attack of the 50-foot Woman', u'Babe', u'Lady Hamilton', u'Gilda', u'The Other Side of Midnight', u'Stille Tage in Clichy', u'Les Miserables', u'None But the Lonely Heart', u'Nelly and Monsieur Arnaud', u'CrissCross', u'Sans Soleil', u'Following', u'Foul Play', u'Lancelot And Guinevere', u'Pippi Longstocking', u'Cria!', u'The Big Fall', u'The Bird with the Crystal Plumage', u"The Cat O'Nine Tails", u'What Ever Happend to Baby Jane?', u'Le Retour de Martin Guerre', u"They Saved Hitler's Brain", u'The Brood', u'Naked Lunch', u'Dracula', u'The War of the Roses', u'Jesus of Montreal', u'Edward II', u'Every Girl Should Be Married', u'The Enemy Below', u'Oliver Twist', u'The Bridge on the River Kwai', u'Wet Gold', u'Meschugge', u'Wild at Heart', u'The Straight Story', u'Christopher Columbus', u'The Sandlot', u'Santa Claus and the 10th Avenue Kid', u'The Pearl Necklace', u'First-Class Honeymoon', u'Fire', u'The Singing Detective', u'The Green Man', u'The Favor', u'The Big Steal', u'The Dead Pool', u'Grand Avenue', u'Strange Illusion', u'The Tarnished Angels', u'Imitation of Life', u'Out of Sight', u'The Arrival', u'Gorilla Bathes at Noon', u'Miami Rhapsody', u'A Corner in Wheat', u'Sister Act', u'The Three Stooges Meet Hercules', u"She's the One", u'The Bank Dick', u'The Carpetbaggers', u'Bride of the Monster', u'A Summer for Love', u'Claudia', u'Nightmare Alley', u'Le Binetoscope', u"Gentleman's Agreement", u'Baby Doll', u'Dirty Dancing', u'Le Dos Au Mur', u'Sissi - Eine Prinzessin', u'Sissi - Schicksalsjahre einer Kaiserin', u'Speed', u'Fast, Cheap, and Out of Control', u'La Genou de Claire', u'A Tale of Springtime', u'Das Leben ist ein langer, ruhiger Fluss', u'Murder at my Door', u"Charlie Chan's Murder Cruise", u'Antz', u'The Secret Passion of Robert Clayton', u'Monkey Trouble', u'Mannequin', u'King of the Rocketmen', u'Zombies of the Stratosphere', u'Disoriented', u'Intervista', u'Dementia 13', u"Bram Stoker's Dracula", u'The Rainmaker', u'Flash Gordon', u'Fear No Evil', u'Blood on the Sun', u'Emmanuelle 7', u'Nosferatu', u"Flash Gordon's Trip to Mars", u'The Golden Idol', u'Gad Girls from Mars', u'Carmen', u'La Che\xe8vre', u'A Cry in the Dark', u'Blondie', u'Jules et Jim', u'Une belle fille comme moi', u'La Belle Epoque', u'Hope Floats', u'Lassie Come Home', u'Courage of Lassie', u'The Hills of Home', u'From Here to Eternity', u'Hamlet', u'Jane Eyre', u'The Little Mermaid', u'The Last of the Mohicans', u'Sub Down', u'The Forbidden Dance', u'The Music Teacher', u'The Witches of Eastwick', u'Babe: Pig in the City', u'Practical Magic', u'I Was a Teenage Werewolf', u'The Rebel Set', u'Kiss the Girls', u'Picture Perfect', u'SOS Pacific', u'Romper Stomper', u'Diamonds are Forever', u'Live and Let Die', u'Primal Fear', u'TZ:Buddy System', u'Barbarians at the Gate', u'The Long Way Home', u'The Blue Dahlia', u'Hideous Kinky', u'Freejack', u"Don't Look Back", u'Il Ladro di Bambini', u'x', u'Anne of Green Gables', u'The Oblong Box', u'Nil By Mouth', u"L'As des As", u'Tito and Me', u'Diary of a Lost Girl', u'Tombstone', u'Fantasia chez les ploucs', u'Shaft', u'Lock, Stock, and Two Smoking Barrel', u'Thoroughly Modern Millie', u'Slap Shot', u'Figaro', u'Mediterraneo', u'Counterfeit Coin', u'Beru et ces Dames', u'Pretty Woman', u'unknown', u'Notorious', u'Rope', u'The Case of Mr. Pelham', u'Crazylegs', u'Analyze This', u'The Saphead', u'Straight Talk', u'Victory through Air Power', u'Pixote', u'The Bar Sinister', u'The Invisible Boy', u"The President's Lady", u'Memories of Me', u'Appaches Last Battle', u'Sankofa', u'Two Thousand Maniacs', u'Today We Live', u'Ball of Fire', u'Red River', u'Man of the Forest', u'Tanin no Kao', u'Parsifal', u"Lloyd's of London", u'Harvey', u'Flower Drum Song', u'Mr. Hobbs Takes a Vacation', u'Daughters of Darkness', u'The Painted Hills', u"Lassie's Great Adventure", u'Lassie', u'Trust', u'Ladies they Talk About', u'The Odd Couple II', u'The Devil in Miss Jones II', u"Dreams That Money Can't Buy", u'Die Unsichtbaren Krallen des Dr. Mabuse', u'Im Stahlnetz des Dr. Mabuse', u'The Night of the Following Day', u'First Wives Club', u'Les Amants du Tage', u'Daughters of Satan', u'Gummo', u"Don't Look Behind You", u'Death and the Joyful Woman', u'The Bingo Long Traveling All-Stars', u'Short Circuit', u'The Hard Way', u'Another Stakeout', u'Point Blank', u'Excalibur', u'Hope and Glory', u'Tarzan in Manhattan', u'Outrage', u'The Bigamist', u'A Crime For Mothers', u'Lawn Dogs', u'Project Shadowchaser', u'TZ:The Living Daylights', u'The Big Street', u'Urinal', u'The Breakfast Club', u'Uncle Buck', u'Coming to America', u'The Mermaids of Tiburon', u'Tiffany', u'Mad Dog and Glory', u'Holy Matrimony', u'Hunt for Red October', u'Intersection', u'Aladdin', u'Five Weeks in a Ballon', u'Ghidrah, The Three-Headed Monster', u'The Silk Petticoat', u'Dementia', u'Strangeland', u'Double Dynamite', u'Paulie', u'Looking for Langston', u"A Soldier's Daughter Never Dies", u'Passion Fish', u'Woyzeck', u'Ghostbusters', u'Twins', u"Father's Day", u'The Blob', u'Hairspray', u'Serial Mom', u'The Net', u'What Really Happened', u'Harper', u'Flipper', u'Boiling Point', u"Le Sang d'un Po\xe9te", u'My Geisha', u'Speed Two', u'The Birds', u'Benny and Joon', u'Rent-a-Cop', u'Rear Window', u'Thank You, Mask Man', u'Da\xefnah la M\xe9tisse', u'A Taxing Woman', u"A Taxing Woman's Return", u'Hot Shots! Part Deux', u'Bombay Talkie', u'Mr. and Mrs. Bridge', u'The Remains of the Day', u'The Name of the Rose', u'The Lover', u'Seven Years in Tibet', u"L'Integrale", u'Love Walked In', u'October Sky', u'The Switchblade Sisters', u'Unlawful Entry', u'The Prince of Egypt', u'Live Nude Girls', u'Fargo', u'Les Caribiniers', u'Contempt', u'Pierrot le Fou', u'Je Vous Salue Marie', u'For Ever Mozart', u'Suddenly, Last Summer', u'Modesty Blaise', u'Vampyres, Daughters of Dracula', u"King Solomon's Mines", u'Leolo', u'The Bride', u'Crossing Delancy', u'TZ:Titanic', u'Symphonie Pastorale', u'The Distinguished Gentleman', u'Dangerous Crossing', u'Dear Uncle George', u'Sunday', u'TZ:Hollywood Boulevard', u'Matinee', u'Starring the Defense', u'Mysterious Island of Beautiful Women', u'A Fine Mess', u'Space Jam', u'Antoine et Antoinette', u'Rendevouz de Julliet', u'Les Parpluies de Cherbourg', u'The Pied Piper', u'Trois Places Pour la 26', u'T\xeates de Femmes, Femmes de T\xeate', u"Un Conseil d'Ami", u'La regle du jeu', u'This Land is Mine', u'The Wizards of Loneliness', u'The Good Son', u'Spies, Lies, and Naked Thighs', u'Elementary School', u'Rave Review', u'Star Trek: The Insurrection', u'Emmanuelle V', u'The Second Woman', u'Stalingrad', u'In the Heat of the Sun', u'The Island', u'Call of the Wild', u'A Midnight Clear', u'Robin Hood: Prince of Thieves', u'Floating World', u'The Trials of Oscar Wilde', u'Land and Freedom', u"Carla's Song", u'Sansho the Bailiff', u'Le Double Vie de Veronique', u'Blue', u'The Lair of the White Worm', u'20 Bucks', u'The Big Hit', u'Body Heat', u'Nazarin', u'Zontar, The Thing from Venus', u'Mauvais Sang', u'God Told Me So', u'High Art', u"L'Enfant de Paris", u'The Tender Poisoner', u'TZ:Lady for a Night', u'Anyone for Murder?', u'Bad Behaviour', u'Les Vampires', u'Fantomas', u'Shirley Valentine', u'Rose France', u'The Kid with the Broken Halo', u'Chantilly Lace', u'Just Another Girl on the I.R.T.', u'Viva Maria!', u'Vanya on 42nd Street', u'The Advocate', u'Queenie, the Star of Calcutta', u'Narayana', u'Theophilos', u'Tropic Zone', u'Charlie Chan at the Wax Museum', u'La Promesse', u'Ossessione', u'Boccaccio 70', u'Second Verdict', u'Cujo', u'Jewel of the Nile', u"L'Avventura", u'Il Grido', u'Incident at Ogala', u'Blink', u'Extreme Measures', u'Alias Jimmy Valentine', u'Fists in the Pocket', u'China is Near', u'In the Name of the Father', u'La grande bourgoise', u'Meet Joe Black', u'Th\xe8res\xe9 R\xe1quin', u'The Last Days of Pompeii', u"Stranger's Kiss", u'Doc Hollywood', u'Love Everlasting', u'Electra', u'Iphigenia', u'Hartverscheurend', u'Douro, Fana Fluvial', u'Acto da Primavera', u'A Ca{c}ca', u'Benilde ou a Virgem M\xe3e', u'Amor de Perdi{c}c\xe3o', u'Francisca', u'Sapato de Setim', u'O Meu Caso', u'Le paltoquet', u'Mina Tannenbaum', u'Half of Heaven', u'The Ballad of Little Jo', u'The Dam Busters', u'The Shoes of the Fisherman', u'Coma', u'Le pull-over rouge', u'Meantime', u'Naked', u'I Got the Hook-Up', u'The Shining', u'Murder Ordained', u'Mr. Jones', u'The Cranes are Flying', u'Pet Sematary', u'Dr. Fisher of Geneva', u'My Giant', u'Three on A Match', u"The Devil at Four o'Clock", u'Werewolf of Washington', u'Deep Impact', u'The Fall Guy', u'Primary Colors', u'Danzon', u'Ride the Whirlwind', u'Werther', u'Verleitung, Die Grausame Frau', u'My Father is Coming', u'I Know Where I Am Going', u'Police', u'Saint Maybe', u'Peyton Place', u'Das Merkwuerdige Verhalten geschlechtsreifer Grossstaedter zur Paarungszeit', u'New York Stories', u'Kundun', u'Simon Birch', u'Bean', u'The Temptress', u'Children of the Dark', u'GoldenEye', u'The Mask of Zorro', u'The Inkwell', u'The King and I', u'The Five Pennies', u'Katzgraben', u'Die Mutter', u'Killer Condom', u'Love Butcher', u'Shall We Dance', u'The Icycle Thief', u'Unmade Beds', u'Mona Lisa', u'The Object of My Affection', u'The Deceivers', u'Star Trek VI, The Undiscovered Country', u'Walkabout', u'In the Heat of the Night', u"Other People's Money", u"A Soldier's Story", u'TZ:The Seventh Voyage of Sinbad', u'The Seventh Voyage of Sinbad', u'Dracos -- The Ogre of Athens', u'1922', u'Charles et Lucie', u"Plaisir D'Amour", u'Six People, No Music', u'Close to Eden', u'This is my Life', u'Sleepless in Seattle', u"You've Got Mail", u"You've got Mail", u'Seishun Zankoku Monogatari', u'Taiyo No Hakaba', u'Shinjuku Dorobo Nikki', u'Thanos and Despina', u'Como era Gostoso o Meu Frances', u'Living it Up', u'Girls! Girls! Girls!', u'The Man in The Gray Flannel Suit', u'Irma Vep', u'Born on the Fourth of July', u'The Doors', u'JFK', u'Nixon', u'Where the Sidewalk Ends', u'Such Good Friends', u"It's all True", u'A Little Sleep', u'Shadow on the Wall', u'Pepi, Luci, Bom', u'Tie Me Up, Tie Me Down', u'High Heels', u'Kika', u'Savior', u'Accettone', u'Medea', u'The Black Train', u'Shelf Life', u'Golden Braid', u'Children of the Revolution', u'Dead Alive', u'Through the Eyes of a Killer', u'Der Ehekaefig', u"Prospero's Books", u'The Pillowbook', u'Sliver', u'Sliding Doors', u'Narrow Margin', u"Muriel's Wedding", u'Rising Sun', u'Marlowe', u'The Cat and the Canary', u'A Man for Burning', u'Good Morning, Babylon', u'Harry and Tonto', u'Scenes from a Mall', u'Ma Femme Me Tue', u'Let Him Have It', u'Flesh', u'Heat', u'Women in Revolt', u'Inventing the Abbotts', u'Frau Berta Garlan', u"I've Heard the Mermaids Singing", u"The Miracle of Morgan's Creek", u'Les Carnets de Major Thompson', u'Naked Gun 33 1/3: The Final Insult', u"Eh' die Fledermaus ihren Flug Beendet", u'Fear', u'Stay Away, Joe', u'The Engagement of Anna', u'The Mosquito Coast', u'The Truman Show', u'Suspect', u'Nine Months', u'An Innocent Man', u'Reservoir Dogs', u'Chaplin', u'In Love and War', u'Grandview U.S.A', u'Big Top Pee-wee', u'Getting it Right', u'The Player', u'Short Cuts', u'Le Temps retrouve', u'TZ:Make Mine Mink', u'A Few Good Men', u'The Ghosts of Missisippi', u'The Last Millionaire', u'Les Belles de Nuit', u'A Bucket of Blood', u'Tales of Terror', u'Gas-s-s!', u'Watchers II', u"Frankenstein's Daughter", u'Superman', u'First Man Into Space', u"A Hard Day's Night", u"Dante's Peak", u'Why Must I Die?', u'The Apostle', u'Two Cents worth of Hope', u'Cliffhanger', u'The Clonus Horror', u'The Lion King', u'Moerderische Liebesnacht', u'Er\xe9ndira', u'Parenthood', u'Apollo 13', u'Ransom', u'Mrs. Winterbourne', u'The Vikings', u'Tora! Tora! Tora!', u'The Midnight Man', u'Blast from the Past', u'Slacker', u'Before Sunrise', u'Night Eyes II', u'Eye of the Needle', u'To Kill a Mockingbird', u'Overexposed', u"Nicholas - a Child's Heart Lives On", u'Mortal Fear', u'The Legend of Lylah Clare', u'Macbeth', u'And so Died Riabouchinska', u'Caroline Ch\xe9rie', u'The Horse Whisperer', u'Johnny Stecchino', u'Open City', u'Francesca, Giullare di Dio', u'Gentlemen Prefer Brunettes', u'Blade Runner', u'Legend', u'Thelma and Louise', u'and the Band Played On', u'Tomorrow Never Dies', u'Without Limits', u"L'Anges du Peche", u'Mouchette', u'Au Hazard, Balthazar', u'Une Femme Douce', u"Quatre Nuits d'un Reveur", u'Lancelot du Lac', u"L'Diable probalement", u'The Sun Comes Up', u'Challenge to Lassie', u'Go Fish', u'Sprung', u'Tigerstreifenbaby wartet auf Tarzan', u'The Hands of Orlac', u'Sacaramouche', u'Who Framed Roger Rabbit', u'Forrest Gump', u'Interrogation', u'The Salvation Hunters', u'Dr. Jack', u'The Connection', u"'Til There Was You", u'Alexander Nevsky', u'La Poison', u'Versailles', u'Les Trois Font la Paire', u'Pigs and Battleships', u'The Eel', u'The Submersion of Japan', u'Tidal Wave', u'Tetsuo, the Iron Man', u'The Minotaur', u'Free Willy II', u'Free Willy III: The Rescue', u'Vegas Vacation', u'Red Rose White Rose', u'The Anderson Tapes', u'Running on Empty', u'The Maid', u'Night Falls on Manhattan', u'Gloria', u'Double Impact', u'Friday the 13th Part II', u'Friday the 13th Part III', u'Ace Ventura, Pet Detective', u'Sparkle', u'The Black Curtain', u'The Slender Thread', u'Hannibal Lector', u"She's Gotta Have It", u'He Got Game', u'Pather Panchali', u'Under the Rainbow', u'The Evil Dead', u'A Simple Plan', u'Escape to Sonoita', u'Indiana Jones and the Holy Grail', u'Jurassic Park', u'The Lost World: Jurrasic Park', u'Saving Private Ryan', u'Friday the 13th', u'The Mummy', u'Silent Tongue', u'Uncle Vanya', u'Hero', u'The Snapper', u'The Van', u'Paths of Glory', u'The Ex-Mrs. Bradford', u'King of the Hill', u'The Hour of the Star', u'The Reanimator', u'Fortress', u'Lost in Space', u'Cookie', u'The Dutch Master', u'George of the Jungle', u'Fast Food', u"Don't Call Me Frankie", u'Topio stin omichli', u'To meteora vima tou pelargou', u'Mia eoniotita ke mia mera', u'Freaks', u'Star Trap', u'Scandal', u'Brides of Dracula', u'The Phantom of the Opera', u'Dracula, Prince of Darkness', u'Brazil', u'Swing Kids', u'Tm(Parsifal', u'From the Earth to the Moon', u"River's Edge", u'Batman', u'Fireworks', u'The Price of Love', u'Okoge', u'Crimson Tide', u'Orgazmo', u'Dead Man Walking', u't', u'Rosenkrantz and Guildenstern are Dead', u'Liar Liar', u'The White Tower', u'The Celebration', u'Too Hot to Handle', u'The Blue Kite', u'Body of Evidence', u"Joanne D'Arc of Mongolia", u'My Son the Fanatic', u'I Bambini ci Guardino', u'Bicycle Thieves', u'The Navigator', u'Herr Zwilling und Frau Zuckermann', u'Meine Tochter geh\xf6rt mir', u"Ulee's Gold", u'The Lost Honor of Katharina Blum', u"The Damned Don't Cry", u"Adam's Rib", u'A Friend of the Deceased', u'The Boob', u'Wings', u'Bananas', u'Manhattan', u'Radio Days', u'Another Woman', u'Alice', u'Bullets Over Broadway', u'The Joy Luck Club', u'The Hills Have Eyes', u'The Return of the Swamp Thing', u'Deadly Friend', u'Rushmore', u'The Guardian', u'The Life of Charles Pierce', u'The Four Deuces', u'48 Hrs.', u'Another 48 Hrs.', u'Kidnapped', u'The Tingler', u'The End of Violence', u'Terrible Teddy', u'Can Can', u'The Hunchback of Notre Dame', u'The Omegans', u'Thunder in Dixie', u'White Shadows in the South Seas', u'Love on the Run', u'The Emperor and the Assissin', u'Killer Instinct', u'Central Station', u'My Stepmother is an Alien', u'The Story of Qiu Ju', u'I Was Born, But ...', u'Woman of Tokyo', u'Passing Fancy', u'A Story of Floating Weeds', u'a Story of Floating Weeds', u'Floating Weeds', u'Voleur du Vie', u'Putney Swope', u'The Manhattan Project', u'Auf Wiedersehen Francisca', u'The Human Duplicators', u'Promise Her Anything', u"I'll Take Manhattan", u'Meet the Applegates', u'Black Magic Woman', u'Beyond Justice', u'Shining Through', u'In the Line of Duty: Siege at Marion', u'The Rating Game', u'The Man With Three Wives', u'Once Were Warriors', u'One Fine Day', u'The Truth About Cats and Dogs', u'Lois and Clark', u'Major League, Back to the Minors', u'The Perfect Crime', u'One True Thing']
